scenario,seed,concurrency,tokens,mode,frames,block_size,submitted,completed,capacity_rejected,rejection_rate,weighted_internal_fragmentation,peak_allocated_slots,swap_in_pages,swap_out_pages
capacity_sweep,0,16,16,swap,8,4,16,16,0,0.0,0.15000000000000002,256,576,632
capacity_sweep,0,16,32,contiguous,8,4,16,0,16,1.0,0,0,0,0
capacity_sweep,0,16,32,paged,8,4,16,0,16,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,16,32,swap,8,4,16,8,8,0.5,0.0957446808510638,288,1376,1464
capacity_sweep,0,16,64,contiguous,8,4,16,0,16,1.0,0,0,0,0
capacity_sweep,0,16,64,paged,8,4,16,0,16,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,16,64,swap,8,4,16,0,16,1.0,0.09517766497461932,288,1376,1472
capacity_sweep,0,32,8,contiguous,8,4,32,0,32,1.0,0,0,0,0
capacity_sweep,0,32,8,paged,8,4,32,0,32,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,32,8,swap,8,4,32,32,0,0.0,0.25,256,320,376
capacity_sweep,0,32,16,contiguous,8,4,32,0,32,1.0,0,0,0,0
capacity_sweep,0,32,16,paged,8,4,32,0,32,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,32,16,swap,8,4,32,8,24,0.75,0.18292682926829273,288,528,600
capacity_sweep,0,32,32,contiguous,8,4,32,0,32,1.0,0,0,0,0
capacity_sweep,0,32,32,paged,8,4,32,0,32,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,32,32,swap,8,4,32,8,24,0.75,0.11290322580645162,288,1328,1432
capacity_sweep,0,32,64,contiguous,8,4,32,0,32,1.0,0,0,0,0
capacity_sweep,0,32,64,paged,8,4,32,0,32,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,32,64,swap,8,4,32,0,32,1.0,0.11153846153846159,288,1328,1440
